codigo,alcaldia,colonia,nivel,cct,escuela,fam_potenciado_2025
MH040,MIGUEL HIDALGO,TLAXPANA,ESPECIAL,09DML0117W,CENTRO DE ATENCIÓN MÚLTIPLE No. 97,105
MH053,MIGUEL HIDALGO,TLAXPANA,PREESCOLAR,09DJN0305Q,JARDÍN DE NIÑOS  ERNESTO P. URUCHURTU,43
MH083,MIGUEL HIDALGO,TACUBAYA,PRIMARIA,09DPR1767W,ESCUELA PRIMARIA GUILLERMO PRIETO,16
MH095,MIGUEL HIDALGO,TACUBAYA,PRIMARIA,09DPR1818M,ESCUELA PRIMARIA JUSTO SIERRA,75
MH115,MIGUEL HIDALGO,TACUBAYA,PRIMARIA,09DPR1800N,ESCUELA PRIMARIA NACIONES UNIDAS,42
MH122,MIGUEL HIDALGO,TLAXPANA,PRIMARIA,09DPR1740P,ESCUELA PRIMARIA PROFR. ADELAIDO RIOS Y MONTES DE OCA,76
TH005,TLÁHUAC,SAN JOSE,PRIMARIA,09DPR2023M,ESCUELA PRIMARIA ANTONIO CASO,17
TH009,TLÁHUAC,LA HABANA (LA MAGDALENA),ESPECIAL,09DML0025F,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 66,45
TH014,TLÁHUAC,DE GUADALUPE,PREESCOLAR,09DJN0401T,JARDÍN DE NIÑOS  CUETLAXOCHITL,18
TH015,TLÁHUAC,SAN JOSE,PREESCOLAR,09DJN0487P,JARDÍN DE NIÑOS  CUITLAHUAC,108
TH020,TLÁHUAC,SELENE,SECUNDARIA,09DST0116Z,ESCUELA SECUNDARIA TÉCNICA  NO.  116,128
TH027,TLÁHUAC,SAN MATEO,PRIMARIA,09DPR2077Q,ESCUELA PRIMARIA GREGORIO TORRES QUINTERO,129
TH047,TLÁHUAC,MIGUEL HIDALGO,PRIMARIA,09DPR5134L,ESCUELA PRIMARIA NUEVO MILENIO,29
TH058,TLÁHUAC,SAN JOSE,PRIMARIA,09DPR3123S,ESCUELA PRIMARIA PROFR. OTILIO MONTAÑO,95
TH062,TLÁHUAC,SAN MATEO (LA HABANA),PREESCOLAR,09DJN0402S,JARDÍN DE NIÑOS  PROFRA.MA.LUISA ARAMBURO VDA.DE ALVARADO,44
TH064,TLÁHUAC,EJIDAL SAN JOSE,SECUNDARIA,09DES0047B,ESCUELA SECUNDARIA QUETZALCÓATL,60
TH079,TLÁHUAC,SAN JOSE,PREESCOLAR,09DJN1020S,JARDÍN DE NIÑOS  TIERRA Y LIBERTAD,78
TH082,TLÁHUAC,SAN MATEO,PREESCOLAR,09DJN0293B,JARDÍN DE NIÑOS  TLAHUAC,79
TH092,TLÁHUAC,SELENE,ESPECIAL,09DML0063I,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 80,107
TP001,TLALPAN,SANTO TOMAS AJUSCO,PREESCOLAR,09DJN0502R,JARDÍN DE NIÑOS  AJUCHITAN,111
TP023,TLALPAN,SANTO TOMAS AJUSCO,ESPECIAL,09DML0013A,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 40,110
TP064,TLALPAN,SAN PEDRO MARTIR,PREESCOLAR,09DJN0565C,JARDÍN DE NIÑOS  MAGDALENA CONTRERAS MILLAN,46
TP067,TLALPAN,SAN PEDRO MARTIR,PRIMARIA,09DPR2006W,ESCUELA PRIMARIA MARTINA ISLAS,96
TP009,TLALPAN,TEPETONGO,PREESCOLAR,09DJN0114Z,JARDÍN DE NIÑOS  ATENEA,109
TP084,TLALPAN,SAN PEDRO MARTIR,PRIMARIA,09DPR2713Z,ESCUELA PRIMARIA PROFR. RAFAEL CRUZ MANJARREZ,61
TP107,TLALPAN,PEDREGAL DE SAN PEDRO MARTIR,PREESCOLAR,09DJN0239H,JARDÍN DE NIÑOS  XOCHIPILCO,20
TP128,TLALPAN,SANTO TOMAS AJUSCO,SECUNDARIA,09DST0096C,ESCUELA SECUNDARIA TÉCNICA  NO.  96,47
TP131,TLALPAN,SANTO TOMAS AJUSCO,PRIMARIA,09DPR1987H,ESCUELA PRIMARIA FRANCISCO I. MADERO,82
TP144,TLALPAN,SAN PEDRO MARTIR,PRIMARIA,09DPR3145D,ESCUELA PRIMARIA PROFR. ABEL ORTEGA FLORES,81
TP079,TLALPAN,PRIMAVERA,PREESCOLAR,09DJN1362O,JARDÍN DE NIÑOS  PRIMAVERA,80
TP112,TLALPAN,SAN ANDRES TOTOLTEPEC,SECUNDARIA,09DES0284D,ESCUELA SECUNDARIA GUSTAVO CABRERA ACEVEDO,30
TP158,TLALPAN,EX EJIDOS DE HUIPULCO,PRIMARIA,09DPR2295D,ESCUELA PRIMARIA TEOFILO ÁLVAREZ BORBOA,19
XC004,XOCHIMILCO,TULYEHUALCO,PRIMARIA,09DPR2983S,ESCUELA PRIMARIA ACATONALLI,62
XC042,XOCHIMILCO,18,PREESCOLAR,09DJN1332U,JARDÍN DE NIÑOS  JANGASKANI,31
BJ002,BENITO JUÁREZ,ALAMOS,PRIMARIA,09DPR1159T,ESCUELA PRIMARIA ANGEL ALBINO CORZO,97
CT030,CUAUHTÉMOC,CENTRO,SECUNDARIA,09DES0001G,ESCUELA SECUNDARIA CÉSAR A. RUIZ,37
CT080,CUAUHTÉMOC,EX HIPODROMO DE PERALVILLO,PRIMARIA,09DPR0903C,ESCUELA PRIMARIA LEOPOLDO RÍO DE LA LOZA (ESCUELA PRIMARIA ESTADO DE SONORA),72
IP369,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,PRIMARIA,09DPR4511Q,ESCUELA PRIMARIA REPÚBLICA ARABE DE EGIPTO,89
,ÁLVARO OBREGÓN,PUEBLO TETELPAN,PREESCOLAR,09DPR1936A,JUAN ESCUTIA,
,ÁLVARO OBREGÓN,COLONIA PUENTE COLORADO,PREESCOLAR,09DJN0115Z,LUIS MORQUIO,
