idinmueble,dpe,cct1,cct2,cct3,cct4,inmueble,coordinaci,operativa,principal,alcaldia,ciclo,plantel,conserjeri,habitada,exterior,comunes,aula,impermeabi,interior,exterior1,loseta,ventanas,ventanas1,ventanas2,puertas,escaleras,pluviales,techos,uvg,pluvial,chapoteade,alberca,arenero,gimnasio,elevador,inmueble1,operacion,civil,hidrosanit,sanitarios,interior1,desazolve,mamparas,septica,deterioro,agua,concreto,tinacos,cisterna,agua1,luminarias,electrica,transforma,escolar,lamina,deportivos,deportivas,emergencia,accesibili,rejas,perimetral,plantel1,arboles,tocones,arboreos,hojarasca,estudiante,maestros,familia,desconozco,escultura,busto,fuente,arbol,coord_x,coord_y
802075,MG073,09DST0045W,09DST0045W,,,ESCUELA SECUNDARIA TÉCNICA 45,Dirección de Educación Secundaria Técnica,AREA 1 PONIENTE,Secundaria,LA MAGDALENA CONTRERAS,2025-2026,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,-99.24157,19.294309
802076,MG074,09DJN0117X,,,,ESCUELA SUPERIOR DE GUERRA,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 4,Preescolar,LA MAGDALENA CONTRERAS,2025-2026,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-99.231542,19.319876
802077,MG075,09DES0223Q,09DES4223R,,,JOSÉ MARÍA VELASCO,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 4,Secundaria,LA MAGDALENA CONTRERAS,2025-2026,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-99.239419,19.317039
802078,MG076,09DES0166P,09DES4166Q,09DSN0057Q,,ALFONSO REYES,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 4,Secundaria,LA MAGDALENA CONTRERAS,2025-2026,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-99.257717,19.312589
802079,MG077,09DJN1432T,,,,TIERRA UNIDA,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 4,Preescolar,LA MAGDALENA CONTRERAS,2025-2026,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,-99.270631,19.303122
802081,MH001,09DTV0004J,,,,MARGARITA CHJORNE Y SALAZAR,Coordinación Sectorial de Educación Secundaria,Dirección Operativa de Educación Secundaria No. 1,Secundaria,MIGUEL HIDALGO,2025-2026,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-99.19073,19.40085
802082,MH002,09DPR1751V,,,,ANGEL ANGUIANO,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-99.195667,19.404935
802084,MH004,09DPR1737B,,,,ADOLFO CIENFUEGOS Y CAMUS,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,-99.184319,19.457434
802085,MH005,09DJN0125F,,,,ADOLFO LÓPEZ MATEOS,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,MIGUEL HIDALGO,2025-2026,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,-99.220606,19.433022
802086,MH006,09DJN0262I,,,,AGUSTIN MELGAR,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,MIGUEL HIDALGO,2025-2026,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-99.185256,19.457028
